address,amount_of_times_interacted_with
0x0655977feb2f289a4ab78af67bab0d17aab84367,27
0xa37cc341634afd9e0919d334606e676dbab63e17,27
0x77372a4cc66063575b05b44481f059be356964a4,27
0xa188eec8f81263234da3622a406892f3d630f98c,27
0x9a42e1bea03154c758bec4866ec5ad214d4f2191,26
0xcbc0a8d5c7352fe3625614ea343019e6d6b89031,26
0x04716db62c085d9e08050fcf6f7d775a03d07720,26
0x05a1552c5e18f5a0bb9571b5f2d6a4765ebda32b,26
0x1abaea1f7c830bd89acc67ec4af516284b1bc33c,26
0x8eb67a509616cd6a7c1b3c8c21d48ff57df3d458,26
0xef59f0ad1be369189e7dd30fb474263a87400c73,26
0x2809a8737477a534df65c4b4cae43d0365e52035,26
0x254638a28fc944c267afec947abc20b9adc3fc36,26
0xb0c7a3ba49c7a6eaba6cd4a96c55a1391070ac9a,26
0x946fb08103b400d1c79e07acccdef5cfd26cd374,26
0x29067f28306419923bcff96e37f95e0f58abdbbe,26
0x243c9be13faba09f945ccc565547293337da0ad7,26
0xc03309de321a4d3df734f5609b80cc731ae28e6d,25
0x2e6abcbcced9af05bc3b8a4908e0c98c29a88e10,25
0x19f9d2befe1fd695ab6ebcab335ad238b7caf53c,25
0x5f98805a4e8be255a32880fdec7f6728c6568ba0,25
0xd77e17ecc3942b6e83f67c56999c5230c70a85a4,25
0x6088d94c5a40cecd3ae2d4e0710ca687b91c61d0,25
0xb21e760e7f74dd3c7b125ef21ba068abbc8adba8,25
0x5de07ebf22b49289d6cf676a8df9b959fe68db0e,25
0xecdc1c43ff1e7191d4b37a0fce2205b76a1f9ee7,25
0x152551b3ccacf951c1614b9e9a9f4f1781d3b719,25
0x469788fe6e9e9681c6ebf3bf78e7fd26fc015446,25
0x00000000219ab540356cbb839cbe05303d7705fa,25
0x5dc62cea20b0e7c3607adcc61a885ff9369dbc60,25
0x75e9abc7e69fc46177d2f3538c0b92d89054ec91,25
0xc824a08db624942c5e5f330d56530cd1598859fd,25
0x004e9c3ef86bc1ca1f0bb5c7662861ee93350568,25
0x5721cbbd64fc7ae3ef44a0a3f9a790a9264cf9bf,24
0xe6bfd33f52d82ccb5b37e16d3dd81f9ffdabb195,24
0x39254033945aa2e4809cc2977e7087bee48bd7ab,24
0xf57e7e7c23978c3caec3c3548e3d615c346e79ff,24
0xc00e94cb662c3520282e6f5717214004a7f26888,24
0x169a808d414d18f0e5482213b7c77f5b348fc05a,24
